,name,github_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,category,projectrank_placing,license,trending,updated_github_id
0,brainflow,brainflow-dev/brainflow,https://github.com/brainflow-dev/brainflow,https://github.com/brainflow-dev/brainflow,2018-07-15 12:42:26,2025-01-15 23:32:30,2025-01-15 23:32:00,1371,10.0,326.0,30.0,432.0,18.0,240.0,1345,2025-01-15 23:26:53,5.16.0,225345.0,3576.0,97.0,"BrainFlow is a library intended to obtain, parse and analyze EEG, EMG, ECG and other kinds of data from biosensors.",352.0,352.0,56.0,28,False,others,1.0,,,
1,tpot,EpistasisLab/tpot,https://github.com/EpistasisLab/tpot,https://github.com/EpistasisLab/tpot,2015-11-03 21:08:40,2024-07-25 10:51:05,2024-02-23 19:03:07,2440,,1545.0,289.0,434.0,285.0,639.0,9805,2024-02-23 19:05:48,0.12.2,,,30.0,A Python Automated Machine Learning tool that optimizes machine learning pipelines using genetic programming.,3169.0,3169.0,121.0,27,True,others,1.0,LGPL-3.0,,
2,camel,camel-ai/camel,https://github.com/camel-ai/camel,https://github.com/camel-ai/camel,2023-03-17 21:41:54,2025-01-16 08:23:56,2025-01-16 08:19:22,653,192.0,726.0,69.0,809.0,218.0,410.0,6035,2025-01-03 18:11:43,0.2.16,205.0,10.0,49.0,CAMEL: Finding the Scaling Law of Agents. The first and the best multi-agent framework. https://www.camel-ai.org.,60.0,60.0,67.0,27,True,others,1.0,Apache-2.0,5.0,
3,deap,DEAP/deap,https://github.com/DEAP/deap,https://github.com/DEAP/deap,2014-05-21 20:07:39,2025-01-09 14:42:50,2025-01-09 14:42:49,2349,15.0,1121.0,190.0,242.0,233.0,287.0,5927,,,,,,Distributed Evolutionary Algorithms in Python.,5692.0,5692.0,90.0,27,True,others,1.0,LGPL-3.0,,
4,malmo,microsoft/malmo,https://github.com/microsoft/malmo,https://github.com/microsoft/malmo,2016-05-17 14:58:40,2023-12-04 09:23:11,2022-09-23 11:12:11,1770,,580.0,260.0,233.0,165.0,546.0,4119,2018-11-06 09:13:55,0.36.0,43004.0,413.0,21.0,Project Malmo is a platform for Artificial Intelligence experimentation and research built on top of Minecraft. We aim..,33.0,33.0,35.0,25,False,others,1.0,MIT,,
5,GeneticAlgorithmPython,ahmedfgad/GeneticAlgorithmPython,https://github.com/ahmedfgad/GeneticAlgorithmPython,https://github.com/ahmedfgad/GeneticAlgorithmPython,2018-12-11 11:19:33,2025-01-07 23:53:04,2025-01-07 23:36:15,504,34.0,464.0,31.0,98.0,90.0,71.0,1943,2025-01-07 23:53:04,3.4.0,1125.0,20.0,38.0,"Source code of PyGAD, a Python 3 library for building the genetic algorithm and training machine learning algorithms..",718.0,718.0,23.0,25,True,others,1.0,BSD-3-Clause,,
6,ck,mlcommons/ck,https://github.com/mlcommons/ck,https://github.com/mlcommons/ck,2014-11-05 17:14:43,2025-01-15 16:23:27,2025-01-15 15:50:42,8507,125.0,116.0,53.0,863.0,12.0,486.0,613,2025-01-15 15:53:09,cm-v3.5.3,,,100.0,"Collective Knowledge (CK) and Collective Minds (CM): community-driven projects to learn how to run AI, ML and other..",113.0,113.0,34.0,25,True,others,1.0,Apache-2.0,,
7,ChatDev,OpenBMB/ChatDev,https://github.com/OpenBMB/ChatDev,https://github.com/OpenBMB/ChatDev,2023-08-28 02:18:13,2024-12-30 06:37:25,2024-12-30 06:36:23,472,6.0,3245.0,312.0,199.0,21.0,246.0,25879,2024-11-12 08:48:09,1.1.6,,,9.0,Create Customized Software using Natural Language Idea (through LLM-powered Multi-Agent Collaboration).,,,65.0,24,True,others,1.0,Apache-2.0,,
8,pymoo,anyoptimization/pymoo,https://github.com/anyoptimization/pymoo,https://github.com/anyoptimization/pymoo,2017-09-19 21:52:39,2025-01-12 23:16:38,2025-01-12 22:46:01,970,8.0,404.0,29.0,106.0,26.0,407.0,2365,2024-07-31 04:57:29,0.6.1.3,,,13.0,"NSGA2, NSGA3, R-NSGA3, MOEAD, Genetic Algorithms (GA), Differential Evolution (DE), CMAES, PSO.",1413.0,1413.0,60.0,24,True,others,1.0,Apache-2.0,,
9,vizier,google/vizier,https://github.com/google/vizier,https://github.com/google/vizier,2022-02-16 20:48:16,2025-01-15 18:10:44,2025-01-15 18:10:39,1166,30.0,96.0,24.0,1177.0,,42.0,1527,2025-01-07 21:01:34,0.1.21,,,39.0,"Python-based research interface for blackbox and hyperparameter optimization, based on the internal Google Vizier..",70.0,70.0,24.0,24,True,others,1.0,Apache-2.0,,
10,agentscope,modelscope/agentscope,https://github.com/modelscope/agentscope,https://github.com/modelscope/agentscope,2024-01-12 03:41:59,2025-01-13 05:37:02,2025-01-13 05:32:48,282,28.0,359.0,32.0,352.0,33.0,126.0,5927,2024-11-08 03:05:44,0.1.1,30.0,2.0,6.0,Start building LLM-empowered multi-agent applications in an easier way.,11.0,11.0,35.0,22,True,others,1.0,Apache-2.0,,
11,scikit-opt,guofei9987/scikit-opt,https://github.com/guofei9987/scikit-opt,https://github.com/guofei9987/scikit-opt,2017-12-05 10:20:41,2024-06-23 12:28:48,2024-06-23 12:28:48,343,,985.0,48.0,34.0,67.0,113.0,5382,2021-06-28 12:45:52,0.6.5,,,20.0,"Genetic Algorithm, Particle Swarm Optimization, Simulated Annealing, Ant Colony Optimization Algorithm,Immune..",245.0,245.0,24.0,22,True,others,1.0,MIT,,
12,hivemind,learning-at-home/hivemind,https://github.com/learning-at-home/hivemind,https://github.com/learning-at-home/hivemind,2020-02-27 13:50:19,2024-12-14 15:17:29,2024-11-05 08:39:28,583,5.0,163.0,56.0,475.0,61.0,104.0,2098,2023-08-31 20:07:52,1.1.10,,,25.0,Decentralized deep learning in PyTorch. Built to train models on thousands of volunteers across the world.,114.0,114.0,33.0,22,True,others,1.0,MIT,,
13,pyswarms,ljvmiranda921/pyswarms,https://github.com/ljvmiranda921/pyswarms,https://github.com/ljvmiranda921/pyswarms,2017-07-12 12:04:45,2024-08-06 17:18:34,2023-06-06 09:46:40,415,,332.0,40.0,302.0,32.0,200.0,1303,2020-11-14 05:18:38,.1.2.0,,,15.0,A research toolkit for particle swarm optimization in Python.,479.0,479.0,45.0,22,False,others,1.0,MIT,,
14,concordia,google-deepmind/concordia,https://github.com/google-deepmind/concordia,https://github.com/google-deepmind/concordia,2023-11-21 13:34:11,2025-01-16 17:32:52,2025-01-16 17:32:22,793,85.0,145.0,22.0,81.0,5.0,36.0,752,2024-12-19 13:01:57,1.8.10,,,21.0,A library for generative social simulation.,13.0,13.0,24.0,22,True,others,1.0,Apache-2.0,,
15,FEDOT,aimclub/FEDOT,https://github.com/aimclub/FEDOT,https://github.com/aimclub/FEDOT,2020-01-13 12:48:37,2025-01-16 16:57:53,2025-01-15 11:51:03,910,12.0,87.0,12.0,779.0,60.0,493.0,649,2024-08-28 11:07:57,0.7.4,,,18.0,Automated modeling and machine learning framework FEDOT.,56.0,56.0,37.0,22,True,others,1.0,BSD-3-Clause,,
16,NiaPy,NiaOrg/NiaPy,https://github.com/NiaOrg/NiaPy,https://github.com/NiaOrg/NiaPy,2018-02-06 11:25:36,2025-01-09 08:15:23,2025-01-06 13:14:30,1536,14.0,81.0,11.0,518.0,4.0,99.0,264,2025-01-06 13:17:14,2.5.2,,,34.0,Python microframework for building nature-inspired algorithms. Official docs: https://niapy.org.,97.0,97.0,35.0,22,True,others,1.0,MIT,,
17,evox,EMI-Group/evox,https://github.com/EMI-Group/evox,https://github.com/EMI-Group/evox,2022-07-27 03:11:41,2025-01-16 07:54:52,2025-01-16 07:54:52,1810,630.0,38.0,5.0,173.0,1.0,29.0,234,2025-01-14 16:17:16,1.0.0,,,20.0,Distributed GPU-Accelerated Framework for Evolutionary Computation. Comprehensive Library of Evolutionary Algorithms &..,3.0,3.0,28.0,22,True,others,1.0,BSD-3-Clause,,
18,mindspore,mindspore-ai/mindspore,https://github.com/mindspore-ai/mindspore,https://github.com/mindspore-ai/mindspore,2020-02-11 08:43:48,2024-07-29 01:48:05,2024-07-28 23:35:15,83896,,690.0,148.0,42.0,169.0,112.0,4373,,,,,,"MindSpore is a new open source deep learning training/inference framework that could be used for mobile, edge and..",,,1629.0,21,True,others,1.0,Apache-2.0,-5.0,
